Source,Target,Weight_x,Weight_y,Weight
f419,l03115,0.0212,0.0209,0.0194
f419,e11649,0.0124,0.0133,0.0129
f419,i110,0.0667,0.067,0.0646
f419,i4891,0.0591,0.0525,0.0509
f419,i5032,0.023,0.0257,0.0238
f419,z7902,0.0487,0.0515,0.0571
f419,z951,0.037000000000000005,0.0339,0.0328
f419,f1020,0.0326,0.0377,0.039
f419,i4892,0.0142,0.0133,0.0115
f419,i5033,0.0219,0.0214,0.0206
f419,e1142,0.0371,0.0351,0.034
f419,e1151,0.0222,0.0214,0.0223
f419,g43909,0.0659,0.0572,0.0627
f419,j440,0.0346,0.048,0.0345
f419,e1165,0.0653,0.065,0.0714
f419,h9190,0.024,0.0215,0.0255
f419,n400,0.0417,0.0415,0.0427
f419,z7984,0.0746,0.0719,0.0759
f419,e46,0.0264,0.0208,0.0213
f419,e861,0.0208,0.0226,0.022000000000000002
f419,e878,0.0111,0.0107,0.0136
f419,g9340,0.017,0.0184,0.0186
f419,n319,0.0135,0.0117,0.0104
f419,n390,0.0795,0.0786,0.0819
f419,z66,0.0722,0.0746,0.0806
f419,z87440,0.019,0.0174,0.0171
f419,i130,0.0359,0.036000000000000004,0.0334
f419,i959,0.0484,0.0474,0.0457
f419,j189,0.0563,0.0742,0.0598
f419,i160,0.0196,0.0213,0.0212
f419,z833,0.0329,0.0298,0.022000000000000002
f419,i429,0.0243,0.0209,0.0168
f419,z853,0.0326,0.0302,0.027999999999999997
f419,r740,0.0208,0.0244,0.0163
f419,o99344,0.0525,0.0557,0.0629
f419,z95810,0.0185,0.0152,0.0145
f419,g8918,0.0177,0.0135,0.0146
f419,i509,0.0375,0.0367,0.0337
f419,m549,0.0686,0.0656,0.0664
f419,z9884,0.0276,0.0263,0.027999999999999997
f419,m329,0.011000000000000001,0.0106,0.0103
f419,r0789,0.0176,0.0164,0.0172
f419,r531,0.0324,0.0329,0.039
f419,e11621,0.0112,0.011000000000000001,0.0114
f419,i132,0.0124,0.0138,0.0112
f419,z9119,0.0454,0.0487,0.045
f419,f0390,0.0382,0.0364,0.0367
f419,g2581,0.0331,0.0327,0.0331
f419,r509,0.0144,0.0205,0.0273
f419,r627,0.0135,0.0118,0.0124
f419,r6510,0.0154,0.0135,0.0144
f419,e1140,0.0349,0.0307,0.0298
f419,r51,0.0274,0.0294,0.0189
f419,z6843,0.0157,0.0156,0.0178
f419,k5900,0.0752,0.0779,0.1085
f419,z681,0.0306,0.0303,0.0313
f419,z9221,0.0301,0.0246,0.0251
f419,z923,0.0289,0.0248,0.0242
f419,z981,0.0318,0.0273,0.0313
f419,m6282,0.0165,0.0147,0.0172
f419,d6959,0.0163,0.0164,0.0162
f419,g4730,0.035,0.0293,0.0299
f419,k589,0.0262,0.0213,0.021
f419,d638,0.033,0.0325,0.0312
f419,f1110,0.0151,0.0143,0.0157
f419,f1510,0.0428,0.0464,0.0479
f419,z590,0.069,0.0795,0.075
f419,r42,0.0156,0.0149,0.015
f419,d509,0.0395,0.0413,0.0402
f419,z8546,0.0123,0.0134,0.0119
f419,n401,0.0138,0.0134,0.0138
f419,k3184,0.0211,0.0203,0.0169
f419,r079,0.0289,0.0272,0.0273
f419,i4510,0.0112,0.0109,0.0115
f419,z85828,0.0213,0.0199,0.019
f419,f1120,0.0607,0.0574,0.0544
f419,z9114,0.053,0.0515,0.0588
f419,e873,0.0108,0.0116,0.013000000000000001
f419,m1990,0.1037,0.0887,0.0867
f419,z8249,0.0535,0.0503,0.0332
f419,h409,0.0163,0.0141,0.0138
f419,r197,0.0283,0.0306,0.0575
f419,m545,0.0377,0.034,0.035
f419,m797,0.0624,0.0537,0.0557
f419,b961,0.0112,0.0118,0.0117
f419,i739,0.0235,0.021,0.0202
f419,z8701,0.0148,0.0181,0.0118
f419,k2970,0.0166,0.0165,0.0169
f419,i471,0.018000000000000002,0.0161,0.017
f419,e43,0.0299,0.0317,0.0325
f419,e8351,0.0168,0.0179,0.0197
f419,n170,0.0177,0.0196,0.0191
