Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Pre_Early_Prct,Early_Outbreak_Prct,Pre_Outbreak_Prct,Pre_rank,Early_rank,Outbreak_rank,Rank_change1,Rank_change2,Rank_change3
a020,a,Salmonella enteritis,Certain infectious and parasitic diseases,85,41,60,-0.517647059,0.463414634,-0.294117647,2936,4051,3417,1115,-634,481
a029,a,"Salmonella infection, unspecified",Certain infectious and parasitic diseases,26,14,24,-0.461538462,0.714285714,-0.076923077,5182,6308,5186,1126,-1122,4
a039,a,"Shigellosis, unspecified",Certain infectious and parasitic diseases,34,13,20,-0.617647059,0.538461538,-0.411764706,4584,6427,5546,1843,-881,962
a040,a,Enteropathogenic Escherichia coli infection,Certain infectious and parasitic diseases,52,40,31,-0.230769231,-0.225,-0.403846154,3779,4096,4668,317,572,889
a044,a,Other intestinal Escherichia coli infections,Certain infectious and parasitic diseases,79,47,29,-0.405063291,-0.382978723,-0.632911392,3065,3789,4778,724,989,1713
a045,a,Campylobacter enteritis,Certain infectious and parasitic diseases,106,94,65,-0.113207547,-0.308510638,-0.386792453,2613,2677,3273,64,596,660
a0471,a,"Enterocolitis due to Clostridium difficile, recurrent",Certain infectious and parasitic diseases,471,403,340,-0.144373673,-0.156327543,-0.278131635,1097,1168,1314,71,146,217
a0472,a,"Enterocolitis due to Clostridium difficile, not specified as recurrent",Certain infectious and parasitic diseases,2669,2365,2499,-0.113900337,0.056659619,-0.063694268,299,318,310,19,-8,11
a048,a,Other specified bacterial intestinal infections,Certain infectious and parasitic diseases,51,42,57,-0.176470588,0.357142857,0.117647059,3812,3997,3498,185,-499,-314
a049,a,"Bacterial intestinal infection, unspecified",Certain infectious and parasitic diseases,41,29,33,-0.292682927,0.137931034,-0.195121951,4212,4728,4530,516,-198,318
a059,a,"Bacterial foodborne intoxication, unspecified",Certain infectious and parasitic diseases,30,45,48,0.5,0.066666667,0.6,4843,3874,3800,-969,-74,-1043
a071,a,Giardiasis [lambliasis],Certain infectious and parasitic diseases,45,24,15,-0.466666667,-0.375,-0.666666667,4029,5151,6130,1122,979,2101
a072,a,Cryptosporidiosis,Certain infectious and parasitic diseases,28,11,16,-0.607142857,0.454545455,-0.428571429,4993,6672,6000,1679,-672,1007
a0811,a,Acute gastroenteropathy due to Norwalk agent,Certain infectious and parasitic diseases,85,63,29,-0.258823529,-0.53968254,-0.658823529,2933,3311,4772,378,1461,1839
a0839,a,Other viral enteritis,Certain infectious and parasitic diseases,55,101,343,0.836363636,2.396039604,5.236363636,3686,2543,1302,-1143,-1241,-2384
