"Id","alphabet","Description","Category","Prevalence_20192","Prevalence_20201","Prevalence_20202"
"a000","a","Cholera due to Vibrio cholerae 01, biovar cholerae","Certain infectious and parasitic diseases",1,1,
"a001","a","Cholera due to Vibrio cholerae 01, biovar eltor","Certain infectious and parasitic diseases",1,,
"a009","a","Cholera, unspecified","Certain infectious and parasitic diseases",1,,1
"a0100","a","Typhoid fever, unspecified","Certain infectious and parasitic diseases",2,1,1
"a020","a","Salmonella enteritis","Certain infectious and parasitic diseases",85,41,60
"a021","a","Salmonella sepsis","Certain infectious and parasitic diseases",21,9,8
"a0220","a","Localized salmonella infection, unspecified","Certain infectious and parasitic diseases",,,1
"a0221","a","Salmonella meningitis","Certain infectious and parasitic diseases",2,,
"a0222","a","Salmonella pneumonia","Certain infectious and parasitic diseases",,,4
"a0225","a","Salmonella pyelonephritis","Certain infectious and parasitic diseases",2,,
"a028","a","Other specified salmonella infections","Certain infectious and parasitic diseases",7,4,4
"a029","a","Salmonella infection, unspecified","Certain infectious and parasitic diseases",26,14,24
"a030","a","Shigellosis due to Shigella dysenteriae","Certain infectious and parasitic diseases",1,1,1
"a031","a","Shigellosis due to Shigella flexneri","Certain infectious and parasitic diseases",1,1,2
"a033","a","Shigellosis due to Shigella sonnei","Certain infectious and parasitic diseases",3,,
"a038","a","Other shigellosis","Certain infectious and parasitic diseases",,3,4
"a039","a","Shigellosis, unspecified","Certain infectious and parasitic diseases",34,13,20
"a040","a","Enteropathogenic Escherichia coli infection","Certain infectious and parasitic diseases",52,40,31
"a041","a","Enterotoxigenic Escherichia coli infection","Certain infectious and parasitic diseases",12,9,11
"a042","a","Enteroinvasive Escherichia coli infection","Certain infectious and parasitic diseases",9,6,8
"a043","a","Enterohemorrhagic Escherichia coli infection","Certain infectious and parasitic diseases",3,3,1
"a044","a","Other intestinal Escherichia coli infections","Certain infectious and parasitic diseases",79,47,29
"a045","a","Campylobacter enteritis","Certain infectious and parasitic diseases",106,94,65
"a046","a","Enteritis due to Yersinia enterocolitica","Certain infectious and parasitic diseases",3,5,5
"a0471","a","Enterocolitis due to Clostridium difficile, recurrent","Certain infectious and parasitic diseases",471,403,340
"a0472","a","Enterocolitis due to Clostridium difficile, not specified as recurrent","Certain infectious and parasitic diseases",2669,2365,2499
"a048","a","Other specified bacterial intestinal infections","Certain infectious and parasitic diseases",51,42,57
"a049","a","Bacterial intestinal infection, unspecified","Certain infectious and parasitic diseases",41,29,33
"a050","a","Foodborne staphylococcal intoxication","Certain infectious and parasitic diseases",,,1
"a051","a","Botulism food poisoning","Certain infectious and parasitic diseases",1,,1
"a052","a","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","Certain infectious and parasitic diseases",,,1
"a054","a","Foodborne Bacillus cereus intoxication","Certain infectious and parasitic diseases",1,1,
"a055","a","Foodborne Vibrio vulnificus intoxication","Certain infectious and parasitic diseases",1,,
"a058","a","Other specified bacterial foodborne intoxications","Certain infectious and parasitic diseases",2,1,
"a059","a","Bacterial foodborne intoxication, unspecified","Certain infectious and parasitic diseases",30,45,48
"a060","a","Acute amebic dysentery","Certain infectious and parasitic diseases",3,1,
"a064","a","Amebic liver abscess","Certain infectious and parasitic diseases",4,1,1
"a065","a","Amebic lung abscess","Certain infectious and parasitic diseases",,,1
"a0689","a","Other amebic infections","Certain infectious and parasitic diseases",1,,2
"a069","a","Amebiasis, unspecified","Certain infectious and parasitic diseases",3,,
"a070","a","Balantidiasis","Certain infectious and parasitic diseases",1,,
"a071","a","Giardiasis [lambliasis]","Certain infectious and parasitic diseases",45,24,15
"a072","a","Cryptosporidiosis","Certain infectious and parasitic diseases",28,11,16
"a073","a","Isosporiasis","Certain infectious and parasitic diseases",8,8,2
"a074","a","Cyclosporiasis","Certain infectious and parasitic diseases",1,,
"a078","a","Other specified protozoal intestinal diseases","Certain infectious and parasitic diseases",,2,
"a080","a","Rotaviral enteritis","Certain infectious and parasitic diseases",26,18,5
"a0811","a","Acute gastroenteropathy due to Norwalk agent","Certain infectious and parasitic diseases",85,63,29
"a0819","a","Acute gastroenteropathy due to other small round viruses","Certain infectious and parasitic diseases",2,,
"a082","a","Adenoviral enteritis","Certain infectious and parasitic diseases",20,12,3
"a0831","a","Calicivirus enteritis","Certain infectious and parasitic diseases",4,1,
"a0832","a","Astrovirus enteritis","Certain infectious and parasitic diseases",4,5,
"a0839","a","Other viral enteritis","Certain infectious and parasitic diseases",55,101,343
"a084","a","Viral intestinal infection, unspecified","Certain infectious and parasitic diseases",597,435,359
"a088","a","Other specified intestinal infections","Certain infectious and parasitic diseases",8,9,11
"a09","a","Infectious gastroenteritis and colitis, unspecified","Certain infectious and parasitic diseases",538,443,452
"a150","a","Tuberculosis of lung","Certain infectious and parasitic diseases",40,38,32
"a155","a","Tuberculosis of larynx, trachea and bronchus","Certain infectious and parasitic diseases",,,1
"a156","a","Tuberculous pleurisy","Certain infectious and parasitic diseases",3,,
"a157","a","Primary respiratory tuberculosis","Certain infectious and parasitic diseases",5,,1
"a158","a","Other respiratory tuberculosis","Certain infectious and parasitic diseases",1,2,1
"a159","a","Respiratory tuberculosis unspecified","Certain infectious and parasitic diseases",29,20,15
"a170","a","Tuberculous meningitis","Certain infectious and parasitic diseases",3,4,3
"a1781","a","Tuberculoma of brain and spinal cord","Certain infectious and parasitic diseases",,,1
"a1801","a","Tuberculosis of spine","Certain infectious and parasitic diseases",8,13,11
"a1802","a","Tuberculous arthritis of other joints","Certain infectious and parasitic diseases",,4,
"a1803","a","Tuberculosis of other bones","Certain infectious and parasitic diseases",,2,
"a1812","a","Tuberculosis of bladder","Certain infectious and parasitic diseases",1,,
"a182","a","Tuberculous peripheral lymphadenopathy","Certain infectious and parasitic diseases",1,,1
"a1831","a","Tuberculous peritonitis","Certain infectious and parasitic diseases",3,3,
"a1832","a","Tuberculous enteritis","Certain infectious and parasitic diseases",2,,
"a1850","a","Tuberculosis of eye, unspecified","Certain infectious and parasitic diseases",,1,1
"a1854","a","Tuberculous iridocyclitis","Certain infectious and parasitic diseases",1,,
"a187","a","Tuberculosis of adrenal glands","Certain infectious and parasitic diseases",1,,
"a1883","a","Tuberculosis of digestive tract organs, not elsewhere classified","Certain infectious and parasitic diseases",,1,1
"a1889","a","Tuberculosis of other sites","Certain infectious and parasitic diseases",3,,1
"a190","a","Acute miliary tuberculosis of a single specified site","Certain infectious and parasitic diseases",1,,
"a191","a","Acute miliary tuberculosis of multiple sites","Certain infectious and parasitic diseases",1,2,1
"a198","a","Other miliary tuberculosis","Certain infectious and parasitic diseases",,,1
"a199","a","Miliary tuberculosis, unspecified","Certain infectious and parasitic diseases",6,5,7
"a209","a","Plague, unspecified","Certain infectious and parasitic diseases",,1,
"a220","a","Cutaneous anthrax","Certain infectious and parasitic diseases",,1,
"a227","a","Anthrax sepsis","Certain infectious and parasitic diseases",1,,
"a238","a","Other brucellosis","Certain infectious and parasitic diseases",1,,1
"a239","a","Brucellosis, unspecified","Certain infectious and parasitic diseases",1,2,1
"a251","a","Streptobacillosis","Certain infectious and parasitic diseases",,2,
"a259","a","Rat-bite fever, unspecified","Certain infectious and parasitic diseases",,1,
"a260","a","Cutaneous erysipeloid","Certain infectious and parasitic diseases",1,1,
"a270","a","Leptospirosis icterohemorrhagica","Certain infectious and parasitic diseases",1,,
"a279","a","Leptospirosis, unspecified","Certain infectious and parasitic diseases",,,1
"a280","a","Pasteurellosis","Certain infectious and parasitic diseases",46,38,32
"a281","a","Cat-scratch disease","Certain infectious and parasitic diseases",4,2,4
"a288","a","Other specified zoonotic bacterial diseases, not elsewhere classified","Certain infectious and parasitic diseases",1,,
"a289","a","Zoonotic bacterial disease, unspecified","Certain infectious and parasitic diseases",1,,
"a305","a","Lepromatous leprosy","Certain infectious and parasitic diseases",1,,
"a309","a","Leprosy, unspecified","Certain infectious and parasitic diseases",,,1
